Uses,count
Treatment and prevention of Chronic obstructive pulmonary disease (COPD),5
Treatment of Ear infection,5
 Pain reliefTreatment of Swelling,5
Treatment of Arrhythmia,5
 Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),4
 Fatty liver disease,4
Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,4
Treatment of Varicose veinsTreatment of PilesTreatment of Lymphedema,4
 Diabetes insipidus Bed-wetting,4
Treatment of Benign fibrocystic breast diseaseTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)Treatment of Menstrual pain,4
Treatment of Myopia,4
Treatment of Iron overload,4
 Short term fluid replacement after trauma,4
 Fungal skin infectionsTreatment of Fungal infections,4
Treatment of Resistant Tuberculosis (TB)Treatment of Severe bacterial infections,4
 Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease,4
Treatment of AmenorrheaTreatment of Abnormal uterine bleedingTreatment of Endometriosis,4
 General Anaesthesia Peptic ulcer disease,4
Treatment of HIV infection,4
 Deep vein thrombosis Pulmonary embolism,4
Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome,4
 Fungal infections of vaginaTreatment of Fungal infections,4
 Hypertension (high blood pressure) Prevention of heart attack and stroke Heart failure,4
 Bacterial infections Parasitic infections,4
 SchizophreniaTreatment of Mania,4
 Head and neck cancer Sickle cell anemia,4
Treatment of Headache,4
Treatment of OsteoporosisTreatment of Paget's disease,4
 Irritable bowel syndrome,4
 Vertigo,4
Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,4
Treatment of Bacterial eye / ear infections,4
 Sunburn,4
 Depression Smoking addiction,4
Prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,4
Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever,4
Treatment of Redness and swelling in the eye,4
Treatment of Chronic hepatitis C virus (HCV) infection,4
 Varicose veins,4
 Multiple sclerosis (MS),4
 Abdominal cramp,4
Treatment of chorea (a movement disorder) associated with Huntington's disease,4
 Arthralgia (joint pain),4
 Fungal skin infections Fungal nail infections,4
 Depression Bed-wetting Neuropathic pain,4
Treatment of Urinary retention,4
 Opioid dependence Alcohol addiction,4
Prevention of AsthmaTreatment of Sneezing and runny nose due to allergies,4
 Diabetic foot ulcers,4
 Prevention of heart attack and stroke Heart attack Peripheral vascular disease,4
Treatment of Psoriasis,4
 Liver  disease,4
Treatment of DiarrheaTreatment of Dysentery,4
 Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,3
 RosaceaTreatment of Parasitic infections,3
 Bacterial eye infections,3
 Eye examination,3
 Constipation Intestine preparation before any surgery,3
 Eye examination Uveitis,3
 Bacterial infections Tuberculosis (TB),3
Treatment of Premature LaborTreatment of Recurrent miscarriage,3
" Prevention of pneumonia, meningitis, blood infection & ear infection",3
 Hypertension (high blood pressure) Edema Low potassium Heart failure,3
 Piles,3
 Pelvic inflammatory disease,3
Treatment of Influenza (flu),3
Treatment of Nasal congestion (blocked nose),3
 Vitamin B12 deficiency,3
 Diarrhea Worm infections,3
Treatment of Allergic conjunctivitis,3
 Male infertility,3
Treatment of Vitamin D deficiency,3
Treatment of Typhoid feverTreatment of Bacterial infections,3
Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus,3
 Angioedema,3
Treatment of SchizophreniaTreatment of DepressionTreatment of Bipolar disorder,3
 Hypertension (high blood pressure)Treatment of Edema,3
 Hormone replacement therapy Post menopausal osteoporosis,3
 Kidney stone,3
Treatment of Ear pain,3
 Abdominal pain,3
 Edema,3
Treatment of Allergic skin conditionsTreatment of Allergic conditions,3
 Post-operative eye pain and inflammation Pain relief,3
Treatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of CancerTreatment of Crohn’s disease,3
 Tinnitus (ringing in the ears)Treatment of Abdominal pain,3
Treatment of AcidityTreatment of Stomach ulcersTreatment of Bloating,3
Treatment of Inflammation of gums,3
 Worm infections Skin disorders,3
 Bacterial eye / ear infectionsTreatment of Bacterial eye infections,3
 Post menopausal osteoporosis Paget's disease,3
Treatment of Myasthenia gravisTreatment of Paralytic ileusTreatment of Post-operative urinary retention,3
 High levels of prolactin Female infertility Acromegaly,3
 Cytomegalovirus Infection,3
 Non-small cell lung cancer Pancreatic cancer,3
Treatment of Chronic hepatitis B virus (HBV) infectionTreatment of HIV infection,3
Treatment of Urinary tract infections (UTIs),3
Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections,2
Treatment of Thrombophlebitis,2
Treatment of Irritable bowel syndromeTreatment of Abdominal pain,2
 Induction of labour,2
 Non-Hodgkin lymphoma (NHL) Rheumatoid arthritis Blood cancer (Chronic lymphocytic leukemia) Granulomatosis with polyangiitis Microscopic polyangiitis,2
Prevention of DiphtheriaPrevention of TetanusPrevention of Pertussis Prevention of Hepatitis B infectionPrevention of Haemophilus influenzae Type b disease,2
 Skin conditions with inflammation & itchingTreatment of Rheumatoid arthritisTreatment of Osteoarthritis,2
 Prevention of Measles Prevention of Rubella Prevention of Mumps,2
Treatment of Allergic conditions Motion sickness,2
 Rheumatoid arthritis,2
 Post-delivery bleeding,2
 Indigestion Bloating,2
Treatment of Hyperpigmentation,2
 Heart failure Low blood pressure,2
Treatment of Vitamin C deficiency,2
Treatment of Burns,2
Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism,2
 Liver disease,2
 Alcoholic fatty liver disease,2
 Heartburn Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,2
 Female infertility Male hypogonadism,2
 Low platelet count due to ITP or HCV infectionTreatment of Severe Aplastic Anemia,2
 Heart failure Arrhythmia,2
Treatment of Multiple myelomaTreatment of Myelodysplastic syndrome,2
Treatment of InsomniaTreatment of DepressionTreatment of Anxiety disorder,2
Treatment of Idiopathic pulmonary fibrosisTreatment of Non-small cell lung cancer,2
 Pain due to smooth muscle spasm,2
Treatment of Early-stage bladder cancer,2
Treatment of Alcohol addiction,2
 Parasitic infections,2
Treatment of Vitamin A deficiency,2
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Heartburn,2
Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation,2
 Quitting smoking,2
 Stomach ulcers,2
Treatment of Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,2
 Hormone replacement therapyPrevention of Post menopausal osteoporosis,2
 Urinary tract infections (UTIs),2
 Brain tumor,2
Treatment of Osteoarthritis,2
 Parkinson's disease Drug induced abnormal movements,2
Treatment of Parasitic Worm infectionsTreatment of Skin disorders,2
 Bacterial infections of external ear Fungal skin infections,2
 Worm infections,2
 Dental cavities,2
 Motion sickness Vertigo,2
 Alcohol addiction,2
Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain,2
 Breast cancer Stomach cancer,2
 Skin infectionsTreatment of Mouth infection,2
Treatment of MyopiaTreatment of Uveitis,2
 Dry Skin,2
 Nasal congestion (blocked nose),2
 Psoriasis Acne,2
 Heart failure Hypertension (high blood pressure) Prevention of heart attack and stroke,2
Treatment of Sneezing and runny nose due to allergiesTreatment of Nasal polyps,2
 Prevention of kidney transplant rejection,2
 Facial hirsutism (Excessive hair growth on face),2
 Mouth infection,2
Treatment of Dementia Associated with Parkinson's disease Alzheimer's disease,2
Treatment of Pain due to smooth muscle spasmTreatment of Irritable bowel syndrome,2
 Cancer of colon and rectum,2
Treatment of Eye infection,2
Treatment of Low blood pressure,2
 Peptic ulcer disease,2
 Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,2
 Gastroesophageal reflux disease (Acid reflux) Indigestion,2
 Prevention of organ rejection in transplant patientsTreatment of Breast cancerTreatment of Pancreatic cancerTreatment of Lung cancerTreatment of Kidney cancer,2
Treatment of AcneTreatment of Bacterial infections,2
Treatment of Cytomegalovirus Infection,2
Treatment of Rheumatoid arthritis,2
Treatment of Increased potassium levels in blood,2
 Peripheral vascular disease,2
Treatment of Acute migraine headache,2
Treatment of Friedreich's ataxiaTreatment of Leber’s Hereditary Optic Neuropathy,2
 Burns,2
Treatment of HeartburnTreatment of Nausea,2
 Burns Stretch Marks,2
Treatment of Noncirrhotic Non-Alcoholic SteatohepatitisTreatment of Non-alcoholic fatty liver diseaseTreatment of Diabetic dyslipidemia (high cholesterol in diabetes),2
Prevention of Angina (heart-related chest pain)Controlling Heart failure,2
Treatment of Ulcerative colitisTreatment of Irritable bowel syndrome,2
 Mouth ulcers,2
Treatment of Rheumatoid arthritisTreatment of Ulcerative colitisTreatment of Crohn’s diseaseTreatment of Ankylosing spondylitisTreatment of Psoriatic arthritis,2
Improving Abdominal painTreatment of Irritable bowel syndrome,2
 Thrombophlebitis,2
Prevention of Harmful effects of methotrexate,2
Treatment of Fungal infections of vagina,1
